pubmedid;vec0;vec1;vec2;vec3;vec4;vec5;vec6;vec7;vec8;vec9;vec10;vec11;vec12;vec13;vec14;vec15;vec16;vec17;vec18;vec19;vec20;vec21;vec22;vec23;vec24;vec25;vec26;vec27;vec28;vec29;vec30;vec31;vec32;vec33;vec34;vec35;vec36;vec37;vec38;vec39;vec40;vec41;vec42;vec43;vec44;vec45;vec46;vec47;vec48;vec49;vec50;vec51;vec52;vec53;vec54;vec55;vec56;vec57;vec58;vec59;vec60;vec61;vec62;vec63;vec64;vec65;vec66;vec67;vec68;vec69;vec70;vec71;vec72;vec73;vec74;vec75;vec76;vec77;vec78;vec79;vec80;vec81;vec82;vec83;vec84;vec85;vec86;vec87;vec88;vec89;vec90;vec91;vec92;vec93;vec94;vec95;vec96;vec97;vec98;vec99;vec100;vec101;vec102;vec103;vec104;vec105;vec106;vec107;vec108;vec109;vec110;vec111;vec112;vec113;vec114;vec115;vec116;vec117;vec118;vec119;vec120;vec121;vec122;vec123;vec124;vec125;vec126;vec127;vec128;vec129;vec130;vec131;vec132;vec133;vec134;vec135;vec136;vec137;vec138;vec139;vec140;vec141;vec142;vec143;vec144;vec145;vec146;vec147;vec148;vec149;vec150;vec151;vec152;vec153;vec154;vec155;vec156;vec157;vec158;vec159;vec160;vec161;vec162;vec163;vec164;vec165;vec166;vec167;vec168;vec169;vec170;vec171;vec172;vec173;vec174;vec175;vec176;vec177;vec178;vec179;vec180;vec181;vec182;vec183;vec184;vec185;vec186;vec187;vec188;vec189;vec190;vec191;vec192;vec193;vec194;vec195;vec196;vec197;vec198;vec199
20592197;-0.015238469;0.025441548;0.07511291;0.017767379;0.17287526;0.0664694;0.049334627;-0.006521103;0.010264727;0.014461593;-0.044578873;-0.042936843;0.07532349;-0.07148662;0.024731476;-0.0005435027;-0.20108692;-0.227474;-0.03714474;0.076152444;-0.07076622;0.049747195;0.011486981;-0.09205408;0.08856656;0.020570561;0.059942305;-0.07586549;-0.0012146322;0.017351411;0.19125937;-0.021427406;-0.03391732;0.025658438;-0.01592312;-0.13760427;0.13573094;0.052782103;-0.046965983;-0.09754813;0.12509911;-0.18872078;0.1186081;-0.013076682;0.13351986;0.022494147;-0.08199487;-0.09885813;0.013869771;-0.16854437;-0.04979851;0.021593565;0.01916792;0.108638614;-0.073524594;0.09842854;0.120855704;0.09091328;-0.08332712;-0.08238522;0.016869599;0.095395446;-0.010896776;-0.06247828;0.08965261;-0.05383958;-0.043751247;0.09879874;-0.05753111;-0.044399917;-0.04118279;-0.20720012;-0.0060271462;0.07469875;-0.00021870184;0.07432563;0.009888875;0.14522079;-0.008260019;-0.0453217;0.024690991;-0.17302935;0.011866508;0.076808594;-0.057894845;0.021696081;-0.12012764;0.034649316;-0.03653867;0.07062775;0.020980224;-0.026231596;-0.0004691109;-0.13863583;-0.03774605;0.028270341;-0.0034991147;0.032518134;0.011761695;-0.027092997;-0.08615732;0.051670272;-0.15759234;0.056731887;-0.063982315;-0.086895086;-0.007152088;0.10797184;0.06563946;0.04256291;0.023194825;0.14965452;0.07144329;-0.013263051;0.14500758;-0.04303272;-0.036594998;0.04995339;0.04672684;-0.115935676;0.070351936;-0.08819091;0.042364966;-0.068946324;-0.12580076;0.0055096494;-0.0037208141;0.051272817;-0.028574727;-0.0817042;0.009965927;0.01835791;0.014875894;0.047424983;-0.057588983;0.03027662;-0.078431845;-0.09968745;-0.07040159;0.05525023;0.06347199;0.012973011;0.1429725;0.100090064;-0.066521995;0.01859444;0.091591604;-0.13105111;0.06809087;0.027565023;0.08648351;0.0922893;-0.04864644;-0.06453546;0.08075885;0.050676778;-0.025049206;0.06510544;-0.039109424;-0.024978103;-0.053609245;-0.13192312;0.13788778;0.058050092;0.032255955;0.03529096;-0.1086946;0.10609832;0.08175092;0.067936234;0.027320873;-0.21044938;-0.08462621;-0.11601862;-0.1093676;-0.052629624;-0.08027518;-0.116034985;0.010186956;-0.007329685;-0.1337185;0.006711601;-0.13459206;-0.07238382;0.13499448;0.02615373;-0.03792057;0.019914502;0.010655243;-0.052684646;-0.058366675;0.03729433;0.13431488;0.09191392;-0.049611136;0.08479273;0.021483943;0.11617777;0.045244373;0.012684905
20530210;-0.04898697;-0.022447582;0.04810169;-0.030866563;0.24161917;0.043596968;-0.10127617;-0.0138123995;-0.01019675;-0.01602756;-0.00012999859;0.03329471;-0.03910862;-0.08138989;0.013694879;-0.09699187;-0.24811943;-0.23728165;-0.014341237;-0.05318669;-0.092326805;0.0021482827;-0.033551786;-0.14209577;0.019322583;0.010826388;0.04969532;-0.05204838;-0.0010752658;-0.06929889;0.1409877;-0.011676652;-0.11727767;0.06330498;-0.025707765;-0.119151406;0.03794497;0.010369459;-0.020667695;-0.18186763;0.17242625;-0.07182312;0.1588805;-0.036765393;0.14855073;0.07183772;-0.17107795;-0.115725234;0.100425;-0.16013744;-0.02337981;-0.050936956;0.025766088;0.13585632;-0.038203485;0.039803687;0.060479805;0.13998184;-0.06460948;-0.021911187;0.0045520216;0.13332094;-0.048917394;-0.041837838;-0.0101265395;-0.004772804;-0.07298043;0.08494643;0.046469215;-0.061564323;-0.092414655;-0.12555373;0.027312348;0.03388687;0.10239588;0.120496385;0.048604634;0.0972251;-0.08730474;0.06197753;-0.013261685;-0.17197487;-0.08395399;0.037317302;-0.13524944;0.041996222;-0.13796727;0.031092176;-0.03829495;0.077759266;-0.011867101;0.011801835;0.033912774;-0.1316841;0.016006045;-0.08881049;0.03715302;0.048901968;-0.0675323;0.06599305;-0.052338142;0.095042534;-0.21003555;-0.012277346;-0.06495199;-0.11520321;-0.09007235;0.13953859;0.04225199;-0.01458878;0.06336456;0.19145468;0.044042867;-0.052879114;0.20983945;0.0080414945;0.0060377843;0.052251577;-0.02708232;-0.19480483;0.11581165;-0.015349091;0.109175794;-0.07659716;-0.105766565;0.0046133986;0.08652964;0.1186055;0.03363464;-0.08823286;-0.005778842;0.026946994;-0.018832562;0.12359929;-0.086996384;0.009589082;-0.0034175287;-0.12916607;0.021042882;0.0027918043;0.014672692;-0.010399308;0.08643287;0.08744613;0.008738981;-0.002685949;0.12531658;-0.061991386;0.08556251;0.11309356;0.08644824;0.14135915;-0.046630457;-0.044194356;-0.114195414;0.12698656;-0.08525367;0.05085114;-0.09290716;-0.02686573;0.009545384;-0.31056544;0.16420943;0.08472455;0.050853435;0.033135004;-0.032496825;0.18276332;-0.0034618245;0.056951642;-0.022546232;-0.18398795;-0.19328605;-0.096090846;-0.113573164;-0.06926814;-0.13222194;-0.012000263;0.03698901;-0.034381106;-0.14124183;-0.08448739;-0.1288249;-0.17668022;0.13899961;0.03430222;-0.021786122;0.10883927;0.022385236;-0.057910897;-0.061774492;0.06708877;0.07846578;0.10041224;-0.0272186;0.18405272;0.05485303;0.20718907;0.050188698;0.0173847
20526328;-0.06495024;-0.005097314;0.046169035;-0.03173627;0.21047065;0.09181216;-0.04973762;-0.11337635;-0.060052544;-0.009443293;0.06009742;0.045133725;0.0068242853;-0.13673842;-0.014917768;-0.12547073;-0.18586858;-0.20234904;-0.007512192;-0.030200778;-0.15508662;0.06975806;-0.023827095;-0.16945513;0.035232272;0.018493146;-0.047601767;-0.09697941;-0.030819856;0.011231142;0.14063816;0.00903684;-0.08836026;0.019863684;-0.04943452;-0.18671569;0.05561268;0.06595716;-0.066860385;-0.19630489;0.18495518;-0.064370826;0.15641446;0.057512805;0.12012352;0.07429144;-0.12789689;-0.12467544;0.11373759;-0.07636373;-0.01565703;-0.078948036;0.073058195;0.10801249;-0.06964652;0.048949398;0.054068256;0.21521588;-0.11152603;-0.047336;-0.05345642;0.15225436;-0.0066954712;-0.0017314202;0.028997831;0.04236641;-0.0729432;0.094477996;0.008688179;-0.06794703;-0.102303416;-0.17932288;0.03809209;0.080868505;0.109230235;0.09704701;0.018489836;0.17443918;-0.03724021;0.10960122;-0.060764674;-0.17385113;-0.018931147;0.071140364;-0.11295608;0.033897284;-0.16196518;0.03988769;-0.021525828;0.1060354;-0.028639587;-0.02025191;0.011714206;-0.15440865;0.082423605;-0.08291955;0.03927218;0.0707986;0.008010418;0.02422215;-0.041260988;0.14760461;-0.15333657;0.031145254;-0.04267686;-0.09147502;-0.051764466;0.20091261;-0.025246905;0.0090301065;0.045060102;0.21292156;0.0016503029;-0.011190709;0.15402803;0.014500912;-0.02079347;0.050605424;-0.00044499704;-0.17803124;0.12179161;0.016629793;0.06420648;-0.10873448;-0.121557586;0.03209307;0.030631095;0.10556576;0.044550285;-0.06442537;-0.018079609;0.022695636;0.030964764;0.09384128;-0.10096793;0.0051779817;-0.02534683;-0.10145821;-0.0005700902;0.013224292;0.061552662;0.004730144;0.11322347;0.0853563;0.0014838116;-0.010830764;0.1585963;-0.07410718;0.10141029;0.1317162;0.100630336;0.14291781;0.010679543;-0.097548164;-0.116435595;0.041796174;-0.09957705;0.03876946;-0.09263727;-0.009331542;0.0067007346;-0.23421773;0.26052687;0.011114507;0.034313504;-0.027979208;-0.030965813;0.1045676;0.0721374;0.005144836;0.028010914;-0.17855142;-0.15458596;-0.08714111;-0.14024578;-0.058975086;-0.12848237;-0.023374647;0.08661259;0.012121955;-0.15229124;0.030764388;-0.101881005;-0.19539367;0.17129177;-0.028041873;0.010098738;0.089698;-0.021867868;-0.0886535;-0.018071007;0.054259714;0.014438296;0.16359074;-0.016818704;0.14143525;0.0872841;0.18055388;0.028508432;-0.017462077
20526327;-0.103429824;0.002362647;0.006671697;-0.06380438;0.2421345;0.08930995;-0.08040509;-0.14746286;-0.09133134;-0.018741967;0.073893405;0.03528428;0.019075746;-0.13521235;-0.044572633;-0.07529044;-0.21118084;-0.20148808;-0.06877666;-0.05614695;-0.1211823;0.066843644;-0.0474504;-0.07142073;0.11081451;-0.025933629;-0.048306964;-0.04590391;0.013372738;0.011864816;0.14662701;-0.0617301;-0.104585014;0.06489017;-0.076705925;-0.12893577;0.10094679;0.08101283;-0.119070806;-0.15827598;0.19764648;-0.058317296;0.065747455;0.03673894;0.13958584;0.07872351;-0.109057315;-0.07939073;0.152128;-0.08131103;-0.07296408;-0.08590812;0.030986901;0.081515856;-0.042488758;0.07956701;0.04586521;0.22379707;-0.06714248;-0.008422367;-0.10214953;0.064674474;-0.049116563;0.094404675;-0.049844395;0.052281484;-0.09239504;0.04292509;-0.0037860062;-0.10701688;-0.073407196;-0.24407224;0.007088423;0.072414294;0.124572165;0.14917116;-0.021831926;0.13373603;-0.020696897;0.120765224;-0.038952753;-0.13825297;0.017700732;0.012819845;-0.011617732;0.015566901;-0.15560536;0.046770535;-0.050448503;0.10919252;-0.05686642;-0.02859714;0.030798934;-0.13267773;0.10924772;-0.10788265;-0.0016904846;0.0423876;0.00678704;0.04171516;-0.033783447;0.12157402;-0.16988407;0.021363579;-0.051074132;-0.04520626;-0.07820856;0.18226375;0.07195581;0.07558034;0.023782268;0.20967518;-0.034118276;0.03157885;0.13869184;0.033099428;-0.035627257;0.02034382;0.039419208;-0.13900468;0.0022705966;0.025698626;0.015351422;-0.13149053;-0.061511636;0.01862144;-0.021695603;0.05008307;0.025409097;-0.07399026;-0.0147389155;0.04456565;0.12403677;0.091590695;-0.10220268;0.009363299;-0.022242807;-0.18649459;0.01669828;0.08289824;0.01662258;0.01882091;0.134659;0.04744151;0.0030381633;0.04808776;0.10255073;-0.0584971;0.1027591;0.05197847;0.021953838;0.08638145;0.055375863;-0.11881933;-0.09449661;0.0253821;-0.12661853;-0.012164196;-0.025092024;-0.006336461;-0.050517734;-0.18277745;0.23407008;0.01030722;0.023903025;-0.056050878;0.006141628;0.09377438;0.08503752;0.05932863;0.03195427;-0.1911623;-0.11465838;-0.10320598;-0.062049765;-0.05557615;-0.121363215;-0.060613345;0.09268869;-0.032979038;-0.0959146;0.13271394;-0.09303976;-0.22540438;0.12621458;-0.032434378;-0.0050110957;0.06748631;0.003034576;-0.06514191;0.03154804;0.039563376;-0.084827006;0.1442939;0.050266203;0.16191597;0.14994283;0.17027964;0.029567197;-0.006574197
20512148;-0.07294348;0.07521947;0.09593136;0.03160503;0.15610813;0.16546379;-0.05112562;-0.024127785;-0.067466825;-0.059272684;0.10574569;-0.10882435;0.17487167;0.030019805;0.009286527;-0.043940417;-0.12548338;-0.3316925;0.06819172;0.046168897;-0.085154615;-0.087379985;-0.089083694;-0.07355036;0.014632701;-0.059701387;0.02104776;0.0015525126;0.014253716;-0.05952691;0.10407922;-0.11643235;-0.19827816;0.060251866;0.015779406;-0.17321502;0.045057483;-0.10053124;-0.04378428;-0.08199848;0.08518685;0.043203298;0.17014012;0.014715432;0.08206078;-0.049660996;-0.14505696;-0.18588148;0.05140517;-0.08778745;0.028996497;-0.013600919;-0.04311471;-0.043684147;-0.15295525;0.065629;0.15752496;0.0652135;-0.037668116;-0.04557799;-0.034917694;-0.014323473;-0.00760104;0.00258522;-0.02199019;0.052477054;-0.05132866;0.059992664;-0.025335072;-0.03272706;-0.14683849;-0.05590193;-0.007862878;-0.042987425;0.12681349;0.17136997;0.040959448;0.08328819;0.0086992225;0.08238927;0.025563011;-0.06243237;-0.14459768;0.017062346;-0.030844094;-0.059746806;-0.12628487;-0.03026903;0.006452979;0.06319053;-0.041616395;-0.031705365;-0.06431977;-0.07097963;0.062440623;-0.11875171;0.025711326;0.06392586;0.16076058;0.020419711;-0.006374825;-0.0023322962;-0.14407864;-0.034430377;0.01993411;-0.036088478;-0.033109855;0.13072371;0.0751084;0.1048174;0.095505536;-0.020841159;0.10762523;-0.030235466;0.09793282;0.044795405;-0.023218947;0.026238516;0.012790596;-0.15796371;-0.013409377;-0.012322495;0.07843483;-0.12194012;-0.035729762;-0.03589681;-0.02737187;-0.009922388;-0.0291615;-0.16364358;0.04205227;0.033634715;0.029111147;0.14308485;0.028338972;0.06742053;-0.100817405;-0.0847703;-0.02836218;0.07201048;-0.044909857;0.12035095;0.1447775;0.042318236;0.0025784944;0.01852384;0.05516487;-0.061998494;0.07651346;0.034674738;0.079497345;0.07408826;0.032647856;-0.014641078;-0.005355276;-0.026245212;-0.15515202;-0.0019799143;-0.101603255;0.025510704;0.01677091;-0.16011745;0.071197666;0.07053421;0.034418292;-0.03200001;-0.024180705;0.07772283;0.12075516;0.018827515;0.0019349976;-0.029359855;-0.09208074;-0.06169856;-0.1722211;-0.073577724;-0.15165296;-0.11678299;0.09833194;0.0035405594;-0.080461435;0.0362156;-0.09647969;-0.06278854;0.059677545;0.0030633237;-0.0674992;0.009113577;0.068335116;0.034991104;-0.087537;0.015561005;0.12463456;0.09450131;-0.008514913;0.10556901;0.004093063;0.19678387;0.026655337;-0.08782074
20498683;-0.035978973;0.017814923;-0.032001853;-0.038092803;0.17326689;0.028931627;0.06925236;0.07566857;0.061514825;-0.046922773;-0.16928995;-0.070506856;0.16402155;-0.18538567;0.030128501;-0.037980173;-0.19579002;-0.15593052;-0.0868333;0.04896912;0.102080375;-0.07171435;-0.010762397;0.007083725;0.07338225;0.0013394244;-0.0020177262;0.04763483;-0.18232925;0.17885868;0.065608144;-0.1791665;-0.07673625;0.010544427;-0.098049104;-0.12885097;0.18816978;0.07451503;-0.16536349;-0.023938444;0.31547225;-0.23100504;0.1887175;-0.00877155;0.17190251;-0.13175972;0.0010919012;0.041486874;-0.11808075;-0.17561212;-0.0051112995;0.007832751;-0.027484136;0.14321457;0.0492998;-0.15840799;0.064898;0.16594926;-0.16290575;0.0459555;-0.024028953;-0.0561745;0.0038304701;0.032021724;-0.0797193;-0.0864225;-0.0339786;-0.02675945;0.10169775;-0.0023262464;-0.04838382;-0.016337246;0.17938474;-0.043032743;0.26213348;-0.046562247;-0.061172724;0.07538059;0.02246575;-0.1216275;0.04282075;-0.2211955;-0.0022702478;0.036506243;0.03573552;0.027105257;-0.1573984;-0.019370724;-0.08693947;0.09250901;0.06648363;-0.050863005;0.021644998;-0.086753815;0.012435;-0.041389607;0.0403956;-0.030424673;-0.062201492;0.08754152;0.010802127;-0.09231976;-0.049451277;0.061621733;-0.099471614;0.038848378;0.0064579956;-0.13698763;-0.043155797;0.06450935;-0.042571776;0.10362552;-0.07381792;-0.030877452;-0.0428545;0.05826278;-0.08441213;-0.28923407;0.049576323;-0.0022422448;0.014585551;-0.15189996;0.034879774;-0.09711425;-0.24353626;0.16324514;0.16361505;-0.04066568;0.066708274;0.12618725;0.16328964;-0.06826728;0.00923375;0.22690874;-0.05467298;-0.055285376;0.04883638;-0.0027899132;-0.088737346;-0.024187826;0.13230328;-0.139142;0.028831197;-0.07158465;-0.0428044;-0.031472076;0.009133544;-0.056902744;-0.07100046;0.09057563;0.115223795;0.23640186;-0.027612705;0.027693575;-0.03627727;-0.107200995;-0.068237424;0.079428606;-0.08441964;0.038498;-0.021838948;-0.14305001;0.10449962;-0.07775943;0.041943148;0.09322597;-0.12833253;0.025461275;0.1299237;0.010611076;0.060333848;-0.09422193;0.24665001;-0.121225245;-0.08172237;-0.035122126;-0.02038;-0.044906072;0.080324255;0.07326177;0.084592044;0.04322825;-0.08765755;-0.05240785;-0.0027836245;0.100590676;-0.026452921;0.16643381;-0.07822187;-0.13496345;0.19894736;0.014219277;-0.063351005;0.05841703;0.1312885;0.14177482;-0.021691428;0.09942879;0.14133906;-0.16936335
20498083;-0.05264535;0.021489957;0.059623774;-0.0060002636;0.21020155;0.060004164;-0.073425256;-0.09231893;-0.044178814;0.02119319;0.0628968;0.02303095;-0.09468832;-0.14741558;0.014003807;-0.1861017;-0.14777672;-0.22081614;-0.01754053;-0.061431687;-0.11860686;0.075618856;-0.037315868;-0.13496841;0.061130144;0.049022667;0.021094564;-0.09461421;-0.043824807;-0.03185855;0.10793582;-0.064810455;-0.09161514;0.007330991;-0.011920297;-0.11341093;0.12818687;0.044147786;-0.036897846;-0.17741902;0.15016852;-0.0429188;0.10149388;0.022320872;0.18406464;0.12700564;-0.14502665;-0.10223886;0.10502143;-0.13386951;0.028204994;-0.03622264;0.011028001;0.16788346;0.015167194;0.070755795;0.05917704;0.15755431;-0.009244448;-0.011857914;-0.064457245;0.1213675;-0.04997903;0.036390852;0.0025560786;0.11948565;-0.082198985;0.062124066;0.029477913;-0.032033652;-0.10346302;-0.20506197;0.025127826;0.021322006;0.11316267;0.1831626;0.033827107;0.15193799;-0.04030105;0.058075137;-0.08368764;-0.15748005;-0.07047197;0.04792993;-0.14624126;0.04232671;-0.19842488;-0.0026312964;0.011084998;0.12126354;-0.027526101;0.03455441;-0.021961676;-0.1704503;0.084585555;-0.09238026;0.06599036;0.037291136;0.008660299;-0.04766955;-0.017710268;0.1173993;-0.18996266;0.061656;-0.08504284;-0.04676031;-0.07579448;0.10581235;-0.0051968265;-0.001174648;0.06374853;0.15801637;0.034348942;-0.05579902;0.17214568;0.0037229522;-0.017062416;0.014069258;0.03155838;-0.18463323;0.12758787;-0.01224396;0.052843347;-0.10197558;-0.10992636;0.003957184;0.03897554;0.031365022;-0.0018318254;-0.066463284;-0.028038692;-0.036932617;0.08490933;0.11511636;-0.12822735;-0.018099265;0.094455525;-0.12092865;-0.06774875;0.044110313;0.029663937;-0.0038023067;0.05342867;0.027234413;0.010807124;-0.016476285;0.18666378;-0.09426367;0.090530775;0.120962664;0.07888844;0.083878346;0.054353967;-0.08163882;-0.1341878;0.050038394;-0.14046314;0.074316196;-0.09647079;0.0029639401;-0.06785763;-0.21592775;0.16167815;0.027944306;0.061143234;-0.0576113;-0.03962404;0.13168426;0.054115307;0.026225308;-0.0319437;-0.109528616;-0.06408245;-0.15672326;-0.08738287;-0.06134916;-0.049602196;0.0019503065;0.06374307;-0.09462392;-0.108982824;0.020047052;-0.092840396;-0.18856414;0.18896215;-0.03777567;0.039871577;0.14245597;-0.031557567;-0.12109965;0.022271078;0.069665685;-0.011964816;0.084863104;0.017399125;0.11552622;0.04540409;0.21367413;0.083932035;0.020887978
20498047;-0.053717013;0.07109722;0.043279245;0.008895255;0.15898049;0.03024297;0.013697203;-0.025146453;0.03219056;0.022604695;-0.044950083;-0.019957077;0.08354117;-0.09474691;-0.00057067204;-0.0637341;-0.17901926;-0.19711573;-0.052315902;0.018870614;-0.016709521;-0.011822178;-0.05092401;-0.07171888;-0.032378353;-0.0053944057;0.025638508;-0.07986737;-0.035319876;0.02403727;0.034616634;-0.10400036;-0.006852091;0.015526889;0.056931164;-0.13525671;0.091005616;-0.029887676;-0.06746781;-0.117081605;0.081134826;-0.09642681;0.21109372;0.011300298;0.079367116;0.01104046;-0.0935292;-0.036226135;0.03678565;-0.18959102;-0.002456964;0.021066995;-0.0021451144;0.14141656;-0.08299312;-0.03379754;0.060677834;0.10006169;-0.07932658;-0.036410026;0.025959756;0.070422895;-0.01541722;-0.039781522;0.045585662;-0.08725052;-0.009935154;0.06567371;0.04300592;0.020045478;-0.00603122;-0.10748762;0.03987305;0.039687082;0.017917149;0.07066568;0.054780386;0.063397825;-0.041017752;0.02287009;-0.012380372;-0.19637832;-0.026989663;0.027204633;-0.041045528;0.11052447;-0.06260175;0.03485176;-0.030038664;0.011158406;-0.04701369;-0.044306044;-0.012206397;-0.14380017;0.041806176;0.058162265;0.062244475;0.019094948;0.048640486;-0.026613848;-0.03727734;0.08612701;-0.17280251;-0.028476335;-0.05220388;-0.050907053;-0.051493883;0.080459625;-0.038801145;0.004041519;0.021833101;0.0035927035;0.0109651275;0.004009888;-0.011660859;-0.012459872;-0.062405996;-0.0649317;-0.029056378;-0.13453716;0.12836605;-0.0022434008;0.020081136;-0.0602077;-0.10909155;-0.000621175;0.07122744;0.007283894;-0.061134595;-0.013138976;0.051963422;-0.0617745;0.0726163;0.052232392;-0.090621926;0.03719753;-0.1072498;-0.10994796;-0.014477702;0.05851937;0.065799475;-0.06558748;0.060450718;0.0694331;-0.060575612;-0.005787674;0.080997616;-0.052905228;0.044934824;0.09859898;0.15653457;0.102815054;-0.025819873;-0.057285607;-0.005358216;0.06344118;-0.048103996;0.0035123539;-0.07251377;-0.03887222;-0.041500777;-0.16804317;0.09866805;0.010414249;0.056496304;0.07086393;-0.08609996;0.097038195;0.045726813;0.05980203;-0.004918393;-0.09180747;-0.02148086;-0.13571194;-0.10473834;0.039472982;0.029202916;-0.121816054;0.087584704;0.016111232;-0.05304307;-0.013853612;-0.12726694;-0.06977906;0.049370773;0.07969943;-0.016630374;0.041006457;-0.027047398;-0.047783688;-0.011524402;0.035658833;0.029936783;0.08091118;-0.003388818;0.05330324;0.006288462;0.1602922;0.07281495;-0.007315986
20479231;-0.039267298;0.04922512;0.078688934;0.023308335;0.13791823;0.12646742;-0.076292455;-0.045134585;-0.06168101;-0.092439264;0.06746183;-0.0782527;0.20753126;-0.00049846177;0.01206713;0.0004063748;-0.15903646;-0.33265138;0.05618185;0.09925776;-0.036465395;-0.10192156;-0.06857248;-0.074234724;0.010368262;-0.026043115;0.062144086;-0.009136225;0.013342418;-0.045343306;0.10563946;-0.11951262;-0.19381908;0.08248092;0.05976831;-0.1840463;0.108904764;-0.081664704;-0.07206818;-0.12230092;0.061023716;-0.023805818;0.20504539;-0.009006275;0.09562552;-0.037925616;-0.12581141;-0.17531268;0.05671937;-0.15301119;0.015012588;0.0025055674;-0.064051814;-0.022086246;-0.14483972;0.05399646;0.120245375;0.06022201;-0.061587576;-0.10468812;0.011382165;-0.0014856642;-0.009806459;0.020834899;0.0553984;-0.003297957;-0.008815083;0.0794554;-0.02132577;-0.031069556;-0.12651287;-0.099922776;0.034289114;-0.03833419;0.108816914;0.09001862;0.054983128;0.057907876;-0.01389177;0.04732743;0.040657543;-0.08206742;-0.074051306;0.045631677;0.0058281543;0.043197036;-0.0988744;-0.022870215;-0.038518522;-0.0006961621;-0.04209714;-0.014630393;-0.04308183;-0.11029809;0.0069197067;-0.053803567;0.038617417;0.07883899;0.12896664;0.006862052;-0.045909792;0.046197027;-0.19392216;0.023839464;0.0036882134;0.017288955;-0.073649555;0.08786114;0.05642829;0.08568247;0.10291212;-0.052695226;0.1155141;-0.05224341;0.034821387;-0.057584792;-0.020464081;0.038943358;0.0269148;-0.06358721;0.035902806;-0.027700972;0.04061343;-0.1503761;-0.039990075;-0.027028978;-0.007129599;0.016373051;-0.009268246;-0.1664456;0.054235954;0.027235964;0.0015018672;0.101523;-0.0039128554;0.05002093;-0.233028;-0.13577062;-0.039650153;0.07481948;-0.041256554;0.047138553;0.09219878;0.041850075;-0.055721182;-0.00895704;0.060162637;-0.085772805;0.09059313;0.04313279;0.07536548;0.053072374;0.0055009723;-0.06543732;0.017542591;0.03498733;-0.1002473;0.018535364;-0.1319422;-0.0061412887;0.029618554;-0.16114196;0.032276426;0.06306212;0.025230484;-0.080768846;-0.059032295;0.06703664;0.15787064;0.025131842;-0.014825889;-0.05790614;-0.07155051;-0.073024035;-0.19878444;-0.016085137;-0.09294725;-0.18088889;0.06809453;0.026082087;-0.09037915;-0.00083840126;-0.13287155;-0.033279452;0.06608924;0.084559925;-0.065706044;-0.049682103;0.05453573;-0.015920924;-0.118660405;-0.026267271;0.1165225;0.09995079;-0.04640251;0.036340166;-0.033689417;0.2022836;0.044754166;-0.10253138
20473291;-0.028561704;0.057290632;0.03414373;-0.015057501;0.21668752;0.045668684;0.020886729;-0.037134323;-0.02683585;-0.06815831;0.035232726;-0.079932965;0.12683272;-0.068827085;-0.012247805;-0.020354388;-0.24225181;-0.24186018;-0.037840277;0.028700016;-0.043013636;-0.030144027;-0.038436893;-0.047518577;0.053488012;-0.022630246;0.05408076;-0.01958627;-0.11650169;0.021395458;0.17829691;-0.030000607;-0.07238225;0.060080074;-0.044343926;-0.17132372;0.122830436;-0.041260783;-0.07042732;-0.087618776;0.09845897;-0.11055883;0.14078169;0.0017686281;0.06345663;0.055168435;-0.09532449;-0.07171983;0.04732853;-0.16823049;-0.02920725;-0.008456575;0.0014783662;0.12106469;-0.091497675;-0.0048182993;0.107295886;0.062261865;-0.08949357;-0.06337335;0.019105202;0.050737787;0.034044556;0.011084753;0.11047593;-0.09435531;0.01431253;0.056798458;0.045986302;-0.024229182;-0.084939905;-0.08448987;0.06899245;0.03571265;0.059923027;0.029203923;0.040947814;0.10728219;0.015251046;0.04645285;0.029454337;-0.164113;-0.048041344;0.008891861;-0.029471245;0.06788582;-0.1023484;-0.06635722;-0.016189106;0.034437854;0.06465755;-0.0020512207;0.010610738;-0.14201152;0.011239876;0.025470164;0.045879554;-0.023131631;-0.0024237672;0.027624143;-0.052400194;0.0023738118;-0.25504398;0.041879114;-0.08941272;-0.13747045;0.007815878;0.048197843;0.009787143;0.058236852;0.020240841;0.0049599316;0.059544235;-0.06260931;0.12350642;-0.009919585;-0.026599884;-0.0010530048;0.063068494;-0.111340985;0.064399794;-0.07732547;0.0013766028;-0.045180667;-0.11434012;0.058581088;0.016130667;0.023481246;-0.056581225;-0.116206296;0.10007905;0.011154772;0.009930344;0.06330921;-0.061886285;-0.018558925;-0.098237485;-0.135183;-0.09171331;0.09045335;0.030000627;-0.013231792;0.03938919;0.008281361;0.010182542;-0.009707039;0.10629849;-0.079458535;0.024204483;0.060116917;0.110069595;0.09055432;-0.06508895;-0.059776347;0.008901443;0.03446927;-0.0763745;0.09658045;-0.0846223;0.0117547605;0.033684924;-0.16595754;0.105352364;0.021160528;-0.0068100872;0.03723477;-0.08269679;0.07601443;0.041276887;0.014754747;-0.018590916;-0.1274685;-0.051891636;-0.12312771;-0.14611395;-0.05275543;-0.05102739;-0.1365886;0.016095791;-0.03871602;-0.050943736;-0.021467192;-0.15556432;-0.049734637;0.0548861;0.08342495;-0.03713091;0.03161494;0.019469334;-0.11251965;-0.02486525;0.0826334;0.16753146;0.07262099;-0.03959132;0.027797755;0.0015695447;0.15003438;0.10595579;-0.029934157
