"sci_nostopwords";"sci_withstopwords";"web_nostopwords";"web_withstopwords";"task"
0.974789915966387;0.973611111111111;0.98;0.9775;"C0008778_C0015422"
0.982576321667908;0.932098765432099;0.902665317139001;0.830552981155391;"C0221971_C0018120"
1;0.997782705099778;0.990753911806543;0.947368421052632;"C0324740_C0027960"
1;1;0.967711301044634;0.904054054054054;"C0333463_C0011389"
1;0.984496124031008;0.94017094017094;0.951388888888889;"C0008778_C0015422"
0.972328086164043;0.940208333333333;0.914285714285714;0.902716049382716;"C0221971_C0018120"
0.995904995904996;0.997073170731707;0.998069498069498;0.917307692307692;"C0324740_C0027960"
1;0.997620464009518;0.964092140921409;0.914529914529915;"C0333463_C0011389"
0.985691573926868;0.994553376906318;0.98804347826087;0.951388888888889;"C0008778_C0015422"
0.960155670867309;0.963280060882801;0.925111925111925;0.86013986013986;"C0221971_C0018120"
0.999213217938631;0.998316498316498;0.953804347826087;0.964052287581699;"C0324740_C0027960"
1;1;0.94023569023569;0.979374110953058;"C0333463_C0011389"
0.974242424242424;0.968421052631579;0.967611336032389;0.925757575757576;"C0008778_C0015422"
0.970967082396238;0.956019900497513;0.920117322291235;0.865163572060124;"C0221971_C0018120"
1;0.993589743589744;0.928994082840237;0.879273504273504;"C0324740_C0027960"
1;1;0.984821428571429;0.949760765550239;"C0333463_C0011389"
0.973015873015873;0.968864468864469;0.981351981351981;0.965;"C0008778_C0015422"
0.947405954715636;0.972294372294372;0.838028169014085;0.88972323535722;"C0221971_C0018120"
0.997920997920998;0.979838709677419;0.964523281596452;0.94609375;"C0324740_C0027960"
1;1;0.992424242424242;0.967479674796748;"C0333463_C0011389"
1;0.971014492753623;0.99882491186839;0.983005366726297;"C0008778_C0015422"
0.950986842105263;0.924901185770751;0.902597402597403;0.893137768465165;"C0221971_C0018120"
1;1;0.909598214285714;0.992592592592593;"C0324740_C0027960"
1;1;0.997802197802198;0.939015939015939;"C0333463_C0011389"
0.989130434782609;0.975051975051975;0.989915966386555;0.947731755424063;"C0008778_C0015422"
0.963471283783784;0.951912951912952;0.944324324324324;0.839285714285714;"C0221971_C0018120"
1;1;0.93963963963964;0.978021978021978;"C0324740_C0027960"
1;1;0.983137829912023;0.940860215053763;"C0333463_C0011389"
1;0.990808823529412;0.983630952380952;0.879892037786775;"C0008778_C0015422"
0.967723004694836;0.92774024024024;0.896299902629017;0.851009237085186;"C0221971_C0018120"
0.99586435070306;0.993684210526316;0.990846681922197;0.994444444444444;"C0324740_C0027960"
1;0.998778998778999;0.924731182795699;0.935294117647059;"C0333463_C0011389"
0.970695970695971;0.953373015873016;0.997264021887825;0.923809523809524;"C0008778_C0015422"
0.962448979591837;0.934472934472934;0.84966838614591;0.914563806777217;"C0221971_C0018120"
1;0.996;0.932802829354553;0.980698529411765;"C0324740_C0027960"
0.998027613412229;0.999145299145299;0.966764418377322;0.971232020012508;"C0333463_C0011389"
0.993181818181818;0.995833333333333;0.974193548387097;0.972972972972973;"C0008778_C0015422"
0.954910551296093;0.939210950080515;0.934272300469484;0.896866569827765;"C0221971_C0018120"
1;1;0.986206896551724;0.960185185185185;"C0324740_C0027960"
1;1;0.952032520325203;0.950138504155125;"C0333463_C0011389"
0.983333333333333;1;0.949826989619377;0.947174447174447;"C0008778_C0015422"
0.965296052631579;0.937211093990755;0.899323671497585;0.889080130043985;"C0221971_C0018120"
0.998823529411765;0.983809523809524;0.962162162162162;0.967948717948718;"C0324740_C0027960"
1;0.998373983739837;0.981875;0.963249516441006;"C0333463_C0011389"
1;0.962962962962963;0.951612903225806;0.952314165497896;"C0008778_C0015422"
0.945615796519411;0.968563400070249;0.896745027124774;0.854861111111111;"C0221971_C0018120"
1;0.996059113300493;0.962304409672831;0.933002481389578;"C0324740_C0027960"
1;0.998534798534799;0.993050193050193;0.962566844919786;"C0333463_C0011389"
1;0.988888888888889;0.939473684210526;0.908823529411765;"C0008778_C0015422"
0.947388059701493;0.922456682106708;0.937606837606838;0.81968992248062;"C0221971_C0018120"
1;1;0.991534391534391;0.937782805429864;"C0324740_C0027960"
1;0.993566176470588;0.974340175953079;0.916666666666667;"C0333463_C0011389"
0.984953703703704;0.961647727272727;0.994318181818182;0.953900709219858;"C0008778_C0015422"
0.95789806900918;0.974240177909563;0.906623931623932;0.843478260869565;"C0221971_C0018120"
0.998771498771499;0.998809523809524;0.966599190283401;0.813095238095238;"C0324740_C0027960"
1;1;0.989258861439313;0.885780885780886;"C0333463_C0011389"
0.96849593495935;0.941724941724942;0.955357142857143;0.920454545454545;"C0008778_C0015422"
0.966907775768535;0.935427952329361;0.86010582010582;0.91158267020336;"C0221971_C0018120"
0.993827160493827;0.998257839721254;1;0.912962962962963;"C0324740_C0027960"
1;1;0.988095238095238;0.952678571428571;"C0333463_C0011389"
0.981684981684982;0.97025171624714;0.984520123839009;0.964912280701754;"C0008778_C0015422"
0.956135265700483;0.975779233670836;0.902982026143791;0.854595588235294;"C0221971_C0018120"
0.996012759170654;0.998655913978495;0.936734693877551;0.899113082039911;"C0324740_C0027960"
1;1;0.997425997425997;0.975;"C0333463_C0011389"
0.981944444444445;0.97796817625459;0.947916666666667;0.944444444444444;"C0008778_C0015422"
0.991703646536755;0.940538194444444;0.875576923076923;0.818701510820743;"C0221971_C0018120"
1;0.987068965517241;0.952762923351159;0.92687074829932;"C0324740_C0027960"
1;1;0.985691573926868;0.949066213921901;"C0333463_C0011389"
0.994;0.957026713124274;0.986111111111111;0.909539473684211;"C0008778_C0015422"
0.977432712215321;0.950189753320683;0.929727806440135;0.828214393255044;"C0221971_C0018120"
1;0.989316239316239;0.977554179566563;0.97639751552795;"C0324740_C0027960"
1;0.999285714285714;1;0.949122807017544;"C0333463_C0011389"
0.998188405797101;0.975172413793103;0.989430894308943;0.924382716049383;"C0008778_C0015422"
0.96407430087773;0.941749427043545;0.903637770897833;0.786844135802469;"C0221971_C0018120"
0.999137931034483;0.997668997668998;0.968957871396896;0.910714285714286;"C0324740_C0027960"
1;1;0.994897959183674;0.958974358974359;"C0333463_C0011389"
0.972049689440994;0.971428571428571;0.971794871794872;0.971797884841363;"C0008778_C0015422"
0.976190476190476;0.937225636523266;0.919199406968125;0.804144144144144;"C0221971_C0018120"
1;0.997126436781609;0.984210526315789;0.952069716775599;"C0324740_C0027960"
0.999458874458874;1;0.9830007390983;0.919607843137255;"C0333463_C0011389"
0.98110661268556;1;0.987134502923977;0.932432432432432;"C0008778_C0015422"
0.959920634920635;0.940645773979107;0.887093050103902;0.848543348543349;"C0221971_C0018120"
0.995384615384615;0.9880174291939;0.974696356275304;0.948148148148148;"C0324740_C0027960"
1;1;0.950534759358289;0.95970695970696;"C0333463_C0011389"
1;0.969135802469136;0.992110453648915;0.873278236914601;"C0008778_C0015422"
0.934025203854707;0.902652200120555;0.886120218579235;0.817922374429224;"C0221971_C0018120"
0.996881496881497;0.979838709677419;0.969565217391304;0.927777777777778;"C0324740_C0027960"
1;0.998106060606061;0.97051597051597;0.964594807238395;"C0333463_C0011389"
