pubmedid;vec0;vec1;vec2;vec3;vec4;vec5;vec6;vec7;vec8;vec9;vec10;vec11;vec12;vec13;vec14;vec15;vec16;vec17;vec18;vec19;vec20;vec21;vec22;vec23;vec24;vec25;vec26;vec27;vec28;vec29;vec30;vec31;vec32;vec33;vec34;vec35;vec36;vec37;vec38;vec39;vec40;vec41;vec42;vec43;vec44;vec45;vec46;vec47;vec48;vec49;vec50;vec51;vec52;vec53;vec54;vec55;vec56;vec57;vec58;vec59;vec60;vec61;vec62;vec63;vec64;vec65;vec66;vec67;vec68;vec69;vec70;vec71;vec72;vec73;vec74;vec75;vec76;vec77;vec78;vec79;vec80;vec81;vec82;vec83;vec84;vec85;vec86;vec87;vec88;vec89;vec90;vec91;vec92;vec93;vec94;vec95;vec96;vec97;vec98;vec99;vec100;vec101;vec102;vec103;vec104;vec105;vec106;vec107;vec108;vec109;vec110;vec111;vec112;vec113;vec114;vec115;vec116;vec117;vec118;vec119;vec120;vec121;vec122;vec123;vec124;vec125;vec126;vec127;vec128;vec129;vec130;vec131;vec132;vec133;vec134;vec135;vec136;vec137;vec138;vec139;vec140;vec141;vec142;vec143;vec144;vec145;vec146;vec147;vec148;vec149;vec150;vec151;vec152;vec153;vec154;vec155;vec156;vec157;vec158;vec159;vec160;vec161;vec162;vec163;vec164;vec165;vec166;vec167;vec168;vec169;vec170;vec171;vec172;vec173;vec174;vec175;vec176;vec177;vec178;vec179;vec180;vec181;vec182;vec183;vec184;vec185;vec186;vec187;vec188;vec189;vec190;vec191;vec192;vec193;vec194;vec195;vec196;vec197;vec198;vec199
30943932;0.09989704;0.06072412;0.10319428;0.117266975;-0.03215818;-0.0824916;-0.019698389;0.099559486;0.008905445;0.067162886;0.078343004;-0.10624757;-0.047278665;0.07822276;0.014250086;0.06746054;0.024254993;-0.00465678;0.039398734;0.04436725;0.10303503;-0.0040828115;-0.0025297161;-0.07528981;0.12879819;-0.17144279;-0.004910646;0.0038246026;-0.14936829;-0.10527919;0.12142418;-0.037951615;0.092400804;-0.025191855;-0.0015616126;0.06088632;-0.065038234;-0.012896127;-0.09062759;-0.08188162;-0.058033466;-0.08246746;-0.1307016;0.0935344;0.0017656023;-0.104251295;-0.13489392;-0.0406405;-0.056816023;-0.0671316;0.06216662;-0.08030911;-0.05313189;0.024629306;-0.0106834285;-0.087830104;0.04395046;-0.044215783;-0.044089485;0.058286067;0.0046853265;0.065613456;-0.0246809;0.030465163;0.021092592;0.006057667;-0.12583044;-0.06464387;0.001606378;0.26028678;0.04255147;0.022630576;-0.17993726;-0.1083095;0.08439774;0.12643991;0.05980202;-0.05072925;-0.08846015;0.075710736;-0.014611526;-0.13133052;-0.011604847;-0.13233858;-0.08877744;-0.16875757;-0.09774785;-0.0078450395;0.050698396;0.06424788;0.046605922;0.030367527;-0.0851379;0.08790231;-0.0028845156;0.037398268;0.023176242;-0.093158595;0.031984303;-0.010363735;0.037536364;-0.064113505;0.050740566;0.03538283;-0.079523325;-0.00040203;0.082012005;-0.118127994;-0.106504194;0.041280173;-0.026541965;0.05425802;0.021401016;0.026394857;-0.06304907;-0.048759345;0.008615633;0.0066135875;-0.067135856;0.084297486;0.06852429;0.04835071;-0.057394568;-0.029320108;-0.11909903;-0.18209885;0.022802882;0.050355826;0.011831499;-0.03177737;-0.0022830898;-0.061365675;-0.18531673;-0.014871074;0.02175841;0.10820442;-0.1572828;-0.023904376;-0.073779404;-0.05919359;-0.002443776;-0.010884101;0.053405162;0.14172114;-0.010054566;-0.06821517;0.06089757;-0.10433001;0.17043275;0.0025099441;0.03040974;-0.070292175;0.07754384;0.019493582;-0.12592097;-0.09478417;0.021609982;-0.06876621;0.0931845;0.12632377;-0.02608603;0.1370568;0.040443532;0.04151855;-0.053836852;0.052640285;-0.108970106;0.07361542;-0.06740771;0.013962694;-0.078390665;-0.055146433;0.033718154;-0.0006518462;0.0090865875;-0.04905314;0.10736411;-0.057681624;-0.019998314;0.009597222;-0.06661426;0.09213993;-0.22058107;-0.1535427;0.12855914;0.08824606;-0.027319992;-0.046969134;-0.06794606;-0.119208425;0.06617066;-0.049841072;-0.034645945;0.1223414;-0.07470165;-0.07140483;-0.013615769;-0.018920148;-0.14269426;0.00046887563
30962558;0.15880652;-0.0027239416;-0.0494245;-0.071609944;0.12740503;-0.03626579;-0.04834991;-0.16733705;-0.020026974;0.006769347;-0.06847863;-0.03466668;0.037446227;-0.073075324;0.01856442;0.21954718;0.000527469;8.903619e-05;0.11443528;0.17090313;-0.03950877;-0.15462904;-0.01369468;-0.05877849;-0.046668638;0.027785541;0.043607254;0.05380375;-0.07629838;0.072202206;-0.052316956;-0.13283412;-0.00142975;0.14419779;0.10673939;-0.01569397;-0.0011113184;0.06614284;-0.08592079;-0.1006559;0.032828007;-0.016480977;-0.08943693;0.056067307;0.06878787;0.020096118;-0.16586101;-0.116336085;-0.021650543;-0.14697209;0.05334283;0.111063026;-0.038804226;0.19868417;-0.114808425;-7.389332e-05;0.026297282;0.02327905;0.045181293;0.011209071;-0.0092449775;0.08969879;-0.09181834;0.1713786;0.045875844;0.060220793;0.0008028643;0.016151512;0.016128367;0.22203751;0.14177895;-0.06452244;-0.033217877;-0.063454;0.043357156;0.046796393;-0.14178;0.051516455;-0.098155595;0.06450247;0.1564015;-0.018226478;-0.018003868;-0.017015908;-0.14312129;-0.060677487;-0.04643189;0.031048708;-0.06879239;0.022338603;0.049668472;-0.04025791;-0.13022609;0.006877982;-0.029129112;0.038273964;0.10509068;-0.001617458;0.04947772;0.008482976;0.017570084;0.066139095;-0.123253345;0.13382103;-0.04684837;0.14901723;0.0936202;-0.06288964;0.008372195;0.0025867668;-0.044909053;-0.0058917915;-0.068800695;-0.052600216;0.03244415;0.06822828;0.007276693;0.00011473697;0.07879499;0.06602134;0.08243663;0.10665311;-0.10047724;-0.038216505;-0.08382593;-0.046086457;0.09397724;0.00057835225;0.028290812;0.10794918;0.008770777;0.02540638;-0.069763035;0.014343446;0.026061561;0.05081483;0.0095529035;-0.08507506;0.06800249;0.065239124;-0.02033916;-0.13642411;0.0778341;0.10783284;0.065577425;-0.041241933;0.13794321;-0.102509364;0.096693136;-0.021953857;0.04253808;0.0040625082;0.16716531;-0.022127595;0.042961273;0.03351099;-0.017982934;0.13275114;0.009811902;0.0004585094;0.00026433068;-0.07723004;-0.08984512;0.042255253;-0.11587862;0.15232106;-0.09125513;0.05014632;-0.07276653;0.1401398;-0.052505605;-0.107186675;0.023517368;-0.07729788;0.049695577;0.15228443;0.07549052;-0.05683719;0.031423364;0.11910524;-0.14688571;0.02478045;-0.22757098;-0.07120141;0.13485149;0.14650524;0.018572856;-0.017310193;0.08156623;-0.054197297;0.015478977;-0.0075812065;0.03638356;0.046842717;0.032097593;-0.07346853;-0.06466987;0.07140247;0.030231519;0.03124256
30971444;0.12952599;-0.027843174;-0.027616069;-0.07842577;0.10662756;0.018902395;-0.011267923;-0.047296815;0.0076584476;0.018533023;-0.02031268;-0.033445835;-0.048048094;-0.09605858;0.0064917565;0.12649588;0.050174467;-0.057197385;0.08263464;0.081961505;-0.04382726;-0.07358732;0.009383155;-0.1543566;-0.032060575;0.025704613;0.059401605;0.07918983;-0.047106944;0.055191696;-0.011526756;-0.028143236;0.065424465;0.050385125;0.015116418;0.05688003;-0.040875845;0.0318847;-0.09099416;-0.130536;0.12363041;-0.011654791;-0.082469866;0.161741;0.1153504;0.0729196;-0.08163424;-0.13608807;0.024544869;-0.055937897;-0.0073785624;0.08443229;-0.05509427;0.18811938;-0.011073278;-0.076879136;-0.02022686;0.074813984;0.011004038;0.067176506;0.009652427;-0.06619494;-0.0953007;0.03381734;0.054797165;-0.01371011;-0.052562334;0.048279714;0.006374514;0.11668906;0.03799878;-0.092347585;-0.04492717;-0.02926411;0.11688633;0.09125729;-0.08101473;0.02865053;-0.1306177;0.0020798906;0.119728;-0.09206564;-0.008342051;0.017063467;-0.21354705;-0.07070176;-0.042646956;0.007919114;-0.118251175;-0.03538746;-0.006837205;0.05025511;-0.1672313;-0.047924176;0.029973378;-0.04682191;0.03718708;-0.05324759;0.08599902;0.073307514;0.0107343;0.012776398;-0.09783553;0.13211285;0.018737225;0.12974444;0.099041134;-0.13651241;0.012311486;0.03532569;0.019686246;0.007057454;-0.031906772;-0.08311304;0.05861233;0.06412278;-0.03543707;0.041992694;0.012459704;0.08096975;0.14453341;0.08324184;-0.13270815;-0.04837695;-0.17639895;-0.039231945;-0.013318268;0.095788285;9.132958e-05;0.071212284;0.018205743;-0.02245366;-0.049090676;0.008871622;0.059230905;0.057650954;0.07095563;-0.039968625;0.031229388;0.021767052;0.035470426;-0.061557326;0.11801341;0.06558015;-0.030736335;-0.06236001;0.10068327;-0.12918378;0.11559546;-0.018625665;-0.022264434;-0.030810624;0.1226044;-0.0030072096;0.09746567;0.08006656;0.0055159824;-0.014191886;0.018027373;-0.0299217;0.0015452111;-0.10332517;-0.006793369;0.07584948;-0.05455578;0.08172835;-0.14353526;0.046148732;-0.09219789;0.027924353;-0.03795118;-0.14833309;-0.020381268;-0.13618407;0.04392144;0.08245182;0.09816072;-0.072270125;0.017697088;0.07712577;-0.052794848;0.029094746;-0.16823982;-0.090626016;0.038012963;0.051220275;-0.021236926;-0.0010609827;0.003954598;-0.0742331;0.038388785;-0.010995819;0.072400205;0.08495672;0.03724356;-0.017552102;-0.076031886;0.030644104;-0.030148994;0.0075931274
30975226;-0.068409465;0.01255431;0.04649537;-0.029222785;0.02252162;-0.030486012;0.01909293;0.032083098;0.009690538;-0.012404317;0.01961084;-0.083730616;0.002675057;-0.06217918;0.022132264;-0.02149425;-0.08931956;-0.08531415;0.08338055;0.05684852;0.10331327;-0.11036187;0.013439703;-0.053764146;0.0010912673;-0.0405886;0.00890794;-0.062321346;-0.10651458;-0.003367872;0.043488804;-0.13061412;0.04222917;-0.058287594;-0.03103027;0.042684514;-0.07834987;-0.0014975056;-0.042599052;-0.081271276;-0.10098683;-0.029812068;-0.04876872;0.010182177;0.029599603;-0.055190407;-0.046189997;-0.1033099;-0.09106633;-0.1168319;0.047103167;-0.009896705;-0.041555572;-0.0049540647;-0.027715284;-0.06926305;0.007224118;0.00036320603;-0.09175757;-0.043470357;-0.00049489026;0.043669686;-0.017819;-0.0969157;0.07821606;0.034947135;-0.051958613;0.019760588;0.06669908;0.051845063;0.043550957;-0.065914504;-0.114653796;-0.031117816;0.16186756;0.04257989;0.11144095;0.061793238;-0.09586027;-0.03892361;0.033740908;-0.08665705;-0.006166708;-0.010671614;-0.04876712;-0.069687895;-0.18538699;0.055281147;0.07763509;0.036963172;0.060182124;-0.07488182;-0.11463247;-0.017034417;0.012861129;-0.020249823;0.050661612;0.006845101;0.041580245;0.04236489;0.055587415;0.018831465;0.002106827;-0.058608174;-0.06514033;0.0050903894;0.018750202;-0.017395323;-0.088236466;0.08263561;0.09297771;0.010421086;0.057139523;0.039824106;-0.057091195;-0.036332086;-0.04770286;-0.041307837;-0.016347153;0.11544442;0.070061244;-0.016193371;-0.07867206;-0.056016758;-0.052271847;-0.11363095;0.021539196;-0.040507883;0.06353998;0.00848094;-0.045153562;-0.038542885;0.006092887;0.006463575;0.011027441;0.11690434;-0.08513548;-0.0021075883;-0.006692178;-0.015125584;-0.054022834;0.00063597;0.0540718;0.07923109;0.022049287;-0.0021005904;-0.0013298064;-0.13582659;0.056943685;0.02670046;0.07170339;-0.03464275;0.15676676;0.110748895;0.070623115;-0.035274755;0.028544644;-0.0622432;0.00913689;-0.029060392;-0.031150177;-0.019033726;0.060022593;0.07790203;-0.023954345;0.018931253;-0.0666955;0.051566847;0.053238705;0.04507872;-0.02273694;-0.07346716;-0.016539548;-0.08589749;0.008882062;-0.0075478484;0.049418967;-0.11360103;-0.0380994;-0.029124586;0.045665126;0.06158636;-0.12362115;-0.09062238;0.06624993;0.053422827;-0.01934769;0.06119889;-0.02020892;-0.045105178;0.05799736;0.011679284;-0.0062786206;0.06469721;0.017859427;-0.1318734;0.009193968;0.08377467;-0.05505857;0.058181453
30989202;0.04218097;0.0070899674;0.100597136;7.672175e-05;0.09144315;-0.052166678;-0.051168494;-0.027439384;0.06619688;0.028048662;0.10931899;-0.114466324;-0.06088027;-0.039970573;-0.0020998637;0.041886326;0.017529285;-0.09888856;0.12089036;0.018898008;0.005710899;-0.06121319;0.0024397878;-0.14891422;0.0034997035;-0.03442879;0.055358298;0.090805314;-0.06114421;0.018616172;0.007712351;-0.071231574;0.04431034;-0.020130424;0.13217306;0.072567806;0.013416563;-0.042996567;-0.014580879;-0.057059497;-0.014676663;-0.012764658;-0.0379016;0.117935605;0.09606292;0.00021290214;-0.092082374;-0.03474424;-0.00010594293;-0.13355635;0.029297138;0.09770869;-0.03173083;0.044202026;0.027007107;0.0024548424;0.008100004;-0.0015826022;-0.001474688;0.006074015;-0.002837527;-0.022126693;0.024480537;0.058203835;0.068997644;-0.080198504;-0.060783196;-0.015743792;0.0131856995;0.10622896;0.0020417387;-0.08754611;-0.026336208;-0.00068654545;0.036573373;0.067735635;0.0017163198;0.017235601;-0.055189785;-0.04572583;0.09275928;-0.040002435;-0.073911116;0.06955729;-0.20492075;0.032970868;-0.07052552;-0.09904623;-0.031666774;0.03811394;0.004696903;0.08463226;-0.123935446;-0.036859825;-0.01210881;0.03628431;-0.015899982;-0.106656246;0.13603354;0.022568282;0.025093611;0.03212365;-0.0929585;0.045585558;-0.096730575;0.024191715;-0.011458935;-0.060719147;0.047410876;0.04282475;0.032537173;-0.012153387;-0.006472919;0.00041953803;0.041340034;-0.024806987;-0.052451245;0.006546007;-0.0604767;-0.055472225;0.10252355;-0.034535315;-0.035255995;-0.07531768;-0.03247909;-0.07662818;0.10445236;0.01650931;0.016749874;0.031181434;-0.040815394;-0.015544751;-0.07218014;0.028951699;-0.01943434;0.10192358;-0.08480153;-0.04931549;0.04814112;0.054405827;-0.053765204;-0.064068876;0.113907635;0.12096599;-0.018708717;0.08727642;0.0880961;-0.05338736;0.103050195;-0.0155851515;0.038865384;-0.03344035;0.035490528;0.13095936;0.014744998;-0.054452986;0.06821351;-0.057109434;0.0029096215;0.039660744;0.055053458;-0.043568302;-0.0048265434;0.1784458;0.043088455;0.043335587;-0.057254214;0.027016379;-0.030617503;0.10624018;-0.0769085;-0.23784007;0.0060684346;-0.083915755;0.09236697;0.037123833;0.06922197;-0.1906349;0.076821044;0.06686656;-0.07307553;0.051551327;-0.15774119;-0.02415932;0.049769025;0.08786931;-0.016315227;-0.050176915;0.023483993;-0.0442974;0.069502555;0.023456866;0.03152504;0.14653008;-0.017337399;-0.07571738;-0.07496043;0.0050993897;-0.15025498;0.080296576
30998877;-0.13752659;0.0651638;0.050059218;0.043192197;0.051253315;-0.07390451;-0.06488861;-0.11833946;-0.026293568;0.09542229;0.10158219;-0.10060521;-0.039986532;-0.027139723;0.06107571;0.0019989223;-0.05415034;-0.013020583;0.087072626;-0.04451607;0.11327568;-0.12202826;0.021064626;-0.08157395;-0.003462061;-0.044388253;0.03651858;-0.024670733;-0.24933378;0.12542973;0.07288034;-0.039669905;-0.024793355;-0.02075111;0.077623;0.061373126;-0.008227144;0.067400284;0.01671485;-0.01041912;-0.007127476;0.022605328;-0.17239234;0.1509814;0.085329294;-0.083586544;-0.12940127;-0.16731732;-0.13727586;-0.07439309;0.11764865;0.04700994;0.03513887;0.08203926;-0.054380722;0.007398486;-0.10649761;0.017956102;0.04688733;0.021732142;0.037345022;-0.08019656;-0.105943084;0.09383623;0.021932315;-0.060247168;-0.14753407;0.03619653;0.14261468;0.05068533;-0.07281583;-0.04483274;-0.033415522;-0.030703515;0.13182427;0.06555001;-0.035693247;0.041750196;0.008532324;0.120112084;0.08805069;-0.08750766;0.09902245;-0.0842011;-0.14168315;-0.04546122;-0.0919272;0.0064213225;-0.04157268;-0.018698256;-0.088258296;-0.12030739;-0.04146528;0.005402133;-0.059434205;-0.09347223;0.1647842;-0.040265057;0.0884278;-0.06601084;-0.08737905;-0.04263513;-0.016666371;-0.06908851;0.005417217;-0.017183572;-0.012425889;-0.21489125;0.024719603;0.06602827;0.122118756;-0.04807945;-0.22288959;0.098891914;-0.024475785;-0.1302352;-0.014343509;-0.09515623;0.023525832;0.028045641;0.07692299;0.025863329;-0.077999406;-0.16615853;-0.20531024;-0.0487367;-0.13309988;0.0743273;0.16824158;0.12656978;-0.07422952;-0.00959864;0.09164135;-0.067016795;-0.023018619;0.045702163;-0.05853758;0.069671854;-0.10925352;-0.121393256;0.05607281;-0.09456927;0.029915787;0.06969771;0.011109662;-0.18819678;0.013403447;-0.17038527;0.141073;0.1468666;0.046648707;-0.011676113;0.13158262;-0.012251295;-0.008983704;-0.03528256;-0.052317522;-0.0408187;-0.014667331;-0.14889365;-0.17946258;0.030675553;-0.024841776;0.0015221724;-0.108843595;0.06771529;-0.07381798;-0.113979675;0.07958686;0.10453929;-0.118008494;-0.13302545;-0.03869743;-0.06818712;0.131828;-0.0088437935;0.11390097;-0.16252841;-0.08397545;0.04352553;0.013033494;0.09461632;-0.1559457;-0.033651013;0.024616532;-0.027441353;-0.121306516;0.05599826;-0.050770056;-0.109686844;0.06523115;-0.16503558;0.027645783;-0.024847014;-0.02462784;-0.22695069;0.03614382;0.05030819;-0.05019769;-0.09041462
31014711;0.058951598;0.016050622;0.10634022;-0.11072989;0.098598614;-0.09431004;0.011848377;-0.024724113;0.01957465;-0.026147088;0.051019132;-0.06590648;-0.047218863;-0.07176728;-0.014372454;0.08884722;0.14931649;-0.12994318;0.30217785;0.068055786;-0.043564342;-0.1294049;0.02455214;0.076661035;0.083301194;-0.060550902;0.16585478;0.100727774;0.017872496;-0.056104742;-0.009751772;0.09796181;0.11242465;-0.06054779;0.034453996;0.024597676;-0.0105784815;0.011440358;-0.16044353;0.022807434;0.018628342;-0.05327382;-0.10238495;0.040753327;0.01852463;-0.09192113;-0.15174058;-0.035942666;-0.033307966;-0.09626125;-0.030129513;-0.031552985;-0.030806186;0.13422354;-0.00057094486;0.019466374;0.04352362;-0.0042878115;0.09407431;0.064641766;0.07190045;0.0014877282;-0.07384272;0.02185577;0.074385054;-0.0016185582;-0.13103363;0.00899965;0.07387535;0.09246061;-0.050403386;0.015833514;0.029614752;-0.003332304;0.11265623;0.11043187;-0.034293994;0.058164507;-0.24383147;-0.0040437873;0.07696992;-0.081975445;-0.0039524557;0.0644186;-0.36025283;-0.059667714;0.07051601;-0.03190945;-0.086039945;0.051145647;0.058777098;0.009020256;-0.13198213;-0.04283901;0.008757831;0.048536133;0.058070447;-0.056460768;0.0008784795;-0.020792747;-0.02789983;0.00084557326;-0.045107767;0.18326546;0.0198562;0.14862812;0.06460192;0.05285663;0.04521394;0.0036117302;0.027894204;-0.032318786;0.01239452;-0.008564263;0.09265119;-0.086777315;-0.08286363;0.009072179;0.017841997;-0.0042473073;0.15713528;-0.029681612;-0.13116401;-0.11020902;-0.0403123;-0.11344843;0.15798372;-0.12238038;-0.015009012;0.13336107;0.040545482;0.031042002;-4.1256644e-05;0.075415865;0.053545732;0.13262609;-0.033680174;-0.057311196;0.1987259;0.024058456;-0.07988575;-0.02105094;0.050360937;0.09658637;-0.06424934;-0.06406105;0.08229;-0.12378527;0.04531914;0.00043475983;-0.015694374;-0.06396644;0.12885383;0.03016923;-0.016370833;0.03427822;-0.049942758;-0.12144415;0.020364035;0.014613079;-0.00823846;-0.1056859;-0.036960915;0.06407075;0.06497164;0.17660184;-0.18042333;0.1154928;-0.05598889;0.045965295;-0.08206573;-0.2232458;0.039807446;-0.033350646;0.06510666;0.058802743;0.05877566;-0.0028068183;-0.010978812;0.14633982;-0.0014153671;-0.050896022;0.011341467;-0.14174515;-0.041120477;0.07564805;-0.112680726;-0.02420199;-0.003892693;0.029504932;0.07107989;0.0734627;0.05257171;0.118992314;0.0019356165;-0.08562303;-0.21595652;0.049097653;-0.011770664;-0.11357544
31023232;0.009557127;0.0006000298;0.019030068;-0.06816785;0.08635879;-0.011242036;-0.08467909;-0.10581145;0.044336107;-0.03587844;0.011462095;-0.0282468;-0.04446533;-0.09405011;0.04034513;0.077408105;0.035424493;-0.1120865;0.10947105;0.1121438;-0.045685742;-0.0923675;-0.036736846;-0.052598827;0.020823376;-0.021673067;0.09559195;-0.055188786;-0.052258294;0.100163236;-0.07072484;-0.11788666;-0.030902477;0.11018672;0.15413043;0.017194703;0.053289037;0.06239832;-0.13787244;-0.09732553;-0.009079703;-0.012716396;-0.01767016;0.09253318;0.089622825;-0.070032865;-0.11546056;-0.09880516;0.006107621;-0.12811948;0.09233298;0.079330646;-0.06349567;0.14388563;-0.036193322;-0.0377935;-0.003713101;0.0137194395;0.009601737;0.027648501;-0.007264903;0.067130156;-0.052301917;0.10160055;0.087311715;0.004336353;-0.008642517;0.038844276;0.051866226;0.14097469;0.06769839;-0.06190585;-0.01699069;-0.024543848;0.00036739776;0.041055236;-0.08394437;0.07232765;-0.07766472;0.06359735;0.11702815;-0.06701357;-0.026692754;0.0015710425;-0.1960847;-0.022331329;-0.09562483;-0.027413644;0.00029342598;0.03499719;0.04761658;-0.006681658;-0.15677796;-0.005180442;-0.010891343;-0.017114403;-0.0050397124;-0.029607223;0.123270854;0.028846765;0.107829005;0.027657803;-0.07290842;0.04948924;-0.002542133;0.051792227;0.02951386;-0.041099142;-0.004859504;-0.013907013;0.06865774;-0.005757325;-0.048457805;-0.0064027323;0.010964637;0.011051359;-0.014380443;-0.01765869;-0.058439385;0.050346695;0.108872525;0.046653707;-0.10990235;0.00134577;-0.049100354;-0.08206042;0.029033327;-0.033751283;0.0074132304;0.017803194;0.019617014;-0.010738434;-0.084464975;-0.052888308;0.06340395;0.050052993;0.009540955;0.025363822;0.08068224;0.026597572;-0.008666475;-0.048941888;0.13098906;0.1233645;-0.005994824;0.00058295944;0.12869671;-0.13516375;0.07022826;-0.01592527;0.0129377255;-0.02319158;0.13982536;-0.014367491;0.07333305;-0.025630971;0.0075216186;0.009335284;0.0022870742;-0.03725413;0.020551406;-0.0848471;0.0054966034;0.07202555;-0.14381294;0.051306218;-0.16683632;-0.03735744;-0.070755705;0.06601444;-0.035233393;-0.18544059;0.0175239;-0.09442479;0.011853313;0.08452436;0.057611793;-0.12199298;0.064719096;0.062514015;-0.11445788;0.04953621;-0.061164808;-0.021087509;0.12259729;0.09195219;0.0037081786;-0.021084473;0.041145343;-0.16367656;0.038466003;-0.05940576;-0.0030383857;0.077082075;0.04174582;-0.10250672;-0.09429304;0.046083268;-0.03368129;0.052430414
31039155;0.02011518;0.114690326;0.10160548;-0.06722141;-0.01705189;-0.09275937;0.031413194;0.07700876;0.032213144;0.035630263;0.061135903;-0.10021927;0.05034316;-0.03185486;-0.04246454;-0.0432793;-0.12094986;-0.011009454;0.046419833;0.110038675;0.09584149;-0.008486315;0.020998895;-0.074826226;0.04595122;-0.14857773;-0.011187917;-0.08739882;-0.1590976;-0.0347718;0.07623271;-0.13232726;0.054365106;-0.12453109;0.08168774;0.04679515;-0.029502342;0.086946905;-0.08885491;-0.057285376;-0.042116165;-0.05264697;-0.050455716;0.14799275;0.07131548;-0.0932783;-0.0502703;-0.12392663;-0.019534184;-0.12672745;0.018911118;-0.01802936;-0.06321444;0.061034363;-0.0995158;-0.051137254;-0.018806525;-0.019454341;0.016350985;0.030742636;0.011629022;0.04950626;-0.0017861216;-0.08870197;0.0563366;0.03025715;-0.170318;-0.009107106;0.04962606;0.06398763;0.028934952;0.09941619;-0.10311654;-0.13867445;-0.0008805645;0.09942582;0.09880316;-0.00034477547;-0.090563975;0.025306791;0.024360146;-0.12630092;0.04847298;-0.042955793;-0.111013606;-0.13171695;-0.07578687;-0.033986796;0.00095574884;-0.033829685;-0.046921168;-0.065614656;-0.12426207;0.036640786;0.055742383;-0.078546084;0.079877466;-0.088670395;0.093440376;-0.03801671;0.042464096;-0.07255417;0.062039766;0.013416148;0.038577136;0.075153805;0.066801704;-0.13654837;-0.14214513;0.05907145;0.06978727;-0.002160943;0.0012985091;-0.008236307;-0.008005579;-0.04123995;0.02382145;-0.04379647;-0.034435306;0.04941404;0.09521658;-0.07971106;-0.06982383;-0.06857513;-0.14851598;-0.18484555;0.104685046;-0.02780663;0.082076594;0.031679787;-0.021228291;-0.028739728;-0.046572372;-0.029945511;-0.0632031;0.16347365;-0.08832103;-0.0029171014;-0.07747194;-0.08739247;-0.03509995;-0.02087718;-0.037204828;0.10921892;0.056298934;-0.07146549;-0.06846738;-0.080847204;0.12924126;0.04251122;0.074347965;-0.10004234;0.12208221;-0.0020173735;-0.0065972707;-0.04490854;0.052405857;-0.12847713;-0.0071461014;-0.024037473;-0.034510206;0.035582535;0.11730509;0.027321143;-0.038366493;0.047312632;-0.11367371;-0.0332752;0.04292987;0.10795863;-0.06814429;-0.075310595;0.077150725;-0.02377634;-0.021094693;-0.05070925;0.05258301;-0.20151001;-0.062826574;0.0015199638;0.052810885;0.08543902;-0.21842285;-0.08149414;0.11270163;0.12633982;-0.075843;-0.005455577;-0.02432156;-0.15924206;0.06522301;-0.0637224;0.053433087;0.03894905;-0.03511145;-0.1791468;0.071240775;0.035039395;-0.11516058;-0.06701775
31040558;0.0577583;0.068772316;0.030927362;-0.07239397;0.08610611;-0.07304887;0.007896645;0.015695691;0.043871354;-0.0038213653;0.04776232;-0.093805656;-0.0147788115;-0.11102673;-0.003410633;0.03381372;0.14885998;0.0035044544;0.09852957;0.09025374;0.030676175;-0.1648944;-0.041328453;-0.034408417;-0.0010921251;0.01002837;0.099494934;0.06453101;-0.07427997;0.040292915;0.035577513;0.079937786;0.1408332;-0.01281467;0.027401617;-0.005898305;-0.05781509;0.0069842264;-0.16699338;-0.059730653;0.030383686;-0.067880735;-0.060946405;0.018928299;0.03412172;0.028460179;-0.13011166;-0.056460362;-0.0056383586;-0.11215588;0.007211007;-0.0298749;-0.06741965;0.052018423;0.010638261;-0.033543404;0.040311452;0.013083824;-0.04918962;0.07665225;0.083764434;-0.0051848292;-0.03403375;0.007883477;0.07648412;0.018840412;-0.105518974;0.08061863;0.103633076;0.08885171;0.04306551;0.012250998;-0.06046273;-0.017916199;0.1385394;0.10513068;0.03133708;0.041052256;-0.15162006;0.013523435;0.058933634;-0.07237854;-0.011527874;0.01111898;-0.16973646;-0.058392085;-0.0050234557;0.000869525;-0.0727932;-0.0096406145;0.04906764;0.017137637;-0.11851528;0.047810644;-0.033594035;0.037956234;0.037947197;-0.0479358;-0.012002329;0.020860609;0.018659296;-0.06019821;-0.009036417;0.14305532;-0.011090143;0.14735515;0.04873154;-0.051274456;-0.052667167;0.069378816;0.035137568;0.02870669;0.037452895;-0.04393284;0.040646363;0.044934947;-0.058693156;0.006002349;0.03943485;0.12011684;0.15124373;0.07638598;-0.13941795;-0.11521514;-0.11159251;-0.106031895;0.10829616;-0.04100617;-0.05078926;0.0810034;0.0011191064;0.06370788;-0.031827267;0.00041766738;0.04246073;0.09584511;-0.058140684;-0.035776313;0.07918083;-0.0096779205;0.0041176938;0.018199103;0.061328202;0.08396943;-0.027278803;-0.10699125;0.0041092765;-0.069940224;0.05832151;-0.01618366;0.015193719;-0.09475849;0.07120289;-0.01847198;0.039648194;0.050705656;0.0017089495;-0.09940541;0.051829997;-0.050065223;-0.023855722;-0.022573201;0.040225837;0.09001193;-0.03240739;0.068202406;-0.11780302;0.13728276;-0.041368593;0.06272188;-0.1362256;-0.17327479;0.040450364;-0.1249935;0.020528287;0.030300146;0.04624182;-0.08136391;0.07548865;0.029323742;0.03871117;-0.025432207;-0.08362912;-0.17728235;-0.009314266;0.08591877;-0.07840819;-0.053628985;-0.050289176;-0.037117448;0.104696065;0.05138395;0.04937974;0.093356006;-0.0006736156;-0.05493315;-0.12473211;0.10714615;-0.08195994;-0.057113614
